basin_ID,sample_name,nuclide,latitude,longitude,concentration,concentration_uncert,erate_g_percm2_peryr,AMS_uncert,muon_uncert,production_uncert,total_uncert,AvgProdScaling,AverageTopoShielding,AverageSelfShielding,AverageSnowShielding,AverageShielding,AvgShield_times_AvgProd,AverageCombinedScaling,outlet_latitude,OutletPressure,OutletEffPressure,centroid_latitude,CentroidPressure,CentroidEffPressure,eff_erate_COSMOCALC,erate_COSMOCALC_mmperkyr_rho2650,eff_erate_COSMOCALC_emulating_CRONUS,erate_COSMOCALC_emulating_CRONUS_mmperkyr_rho2650,erate_mmperkyr_rho2650,erate_totalerror_mmperkyr_rho2650,basin_relief
0,20,Be10,34.3758,-117.09,224242,9799.5,0.0107113,0.000477167,0.000541942,0.0019985,0.00212495,3.36234,0.981178,1,1,0.981178,3.29905,3.29869,34.3762,846.235,819.612,34.3657,821.491,819.576,0.0107114,40.4202,0.0107125,40.4244,40.42,8.01868,626.988
1,15,Be10,34.3967,-117.076,115300,7506,0.017284,0.00114465,0.00107528,0.00324311,0.00360336,2.87681,0.928934,1,1,0.928934,2.67236,2.67976,34.3962,867.729,842.335,34.3892,843.18,842.312,0.0172844,65.2241,0.0172397,65.0554,65.2227,13.5976,355.997
2,19,Be10,34.4027,-117.063,87778.5,6776.25,0.0254342,0.00199219,0.00146888,0.00472578,0.00533474,3.20854,0.935842,1,1,0.935842,3.00268,3.0159,34.4025,881.595,826.506,34.3825,830.018,826.438,0.0254354,95.9827,0.0253309,95.5883,95.9782,20.1311,965
3,17,Be10,34.2842,-117.056,133127,6046.5,0.0196185,0.000901727,0.000974588,0.00362309,0.00385872,3.74764,0.95409,1,1,0.95409,3.57559,3.57548,34.2832,829.687,803.5,34.301,800.15,803.562,0.0196187,74.0327,0.0196192,74.0349,74.0319,14.5612,515
4,14,Be10,34.394,-117.054,105397,6359.25,0.0200141,0.00122536,0.00119784,0.00373769,0.00411177,3.06216,0.926718,1,1,0.926718,2.83776,2.8441,34.3936,859.626,833.259,34.3852,832.84,833.231,0.0200144,75.5262,0.0199726,75.3684,75.5249,15.5161,404
5,18,Be10,34.2794,-117.044,188276,10425,0.0123883,0.000698878,0.000653194,0.00231131,0.00250145,3.32467,0.958965,1,1,0.958965,3.18824,3.18908,34.2797,826.776,820.921,34.281,822.571,820.925,0.0123883,46.7485,0.0123853,46.7368,46.7484,9.43942,78
6,11,Be10,34.1703,-117.044,8027.25,1355.25,0.278636,0.0484641,0.0168773,0.0513939,0.0726288,3.59022,0.82844,1,1,0.82844,2.97428,2.9958,34.1704,883.346,809.359,34.1869,832.185,809.417,0.278669,1051.58,0.276818,1044.59,1051.46,274.071,1232
7,16,Be10,34.2768,-117.032,101435,5733.75,0.0289675,0.00165335,0.0013287,0.00530718,0.00571534,4.43278,0.910188,1,1,0.910188,4.03467,4.03791,34.277,818.883,778.956,34.264,788.389,778.909,0.0289681,109.314,0.0289459,109.23,109.311,21.5673,746
8,10,Be10,34.2121,-117.015,77562,5421,0.0249032,0.00176586,0.00163057,0.00466696,0.00524953,3.01649,0.853535,1,1,0.853535,2.57468,2.57908,34.2115,845.193,834.832,34.2134,835.433,834.839,0.0249036,93.9758,0.0248642,93.827,93.9744,19.8095,202
9,MHC-12,Be10,34.1254,-116.992,43771.1,6519.1,0.050026,0.007655,0.00302195,0.0092712,0.012397,3.29281,0.892421,1,1,0.892421,2.93857,2.93969,34.1249,853.69,821.792,34.136,818.958,821.83,0.050027,188.781,0.0500092,188.714,188.777,46.7812,830
10,MHC-11,Be10,34.1262,-116.991,48893.2,7916.05,0.045038,0.00752636,0.00269865,0.00834797,0.0115593,3.35618,0.881243,1,1,0.881243,2.95761,2.95925,34.1265,849.785,819.023,34.139,825.655,819.066,0.045039,169.959,0.0450158,169.871,169.955,43.62,792
11,MHC-10,Be10,34.1237,-116.99,52152.8,3725.2,0.0418566,0.00302159,0.00252102,0.0077645,0.00870477,3.287,0.89178,1,1,0.89178,2.93128,2.93274,34.1241,855.545,822.046,34.136,818.958,822.087,0.0418574,157.953,0.0418381,157.88,157.949,32.8482,847.998
12,MHC-15,Be10,34.1129,-116.99,48427.6,5587.8,0.0539259,0.00633057,0.00278981,0.00990226,0.0120795,4.09033,0.863956,1,1,0.863956,3.53387,3.55102,34.1127,869.352,790.129,34.1309,813.9,790.193,0.0539336,203.523,0.0536886,202.598,203.494,45.583,1922.99
13,MHC-14,Be10,34.1145,-116.987,40045.9,4656.5,0.0538934,0.00638022,0.00330198,0.00999246,0.0123069,3.29095,0.878876,1,1,0.878876,2.89234,2.89303,34.1146,865.806,821.839,34.133,836.635,821.902,0.0538953,203.378,0.0538833,203.333,203.371,46.4411,1046
14,MHC-13,Be10,34.1137,-116.986,27007.7,4656.5,0.115708,0.0205951,0.00520113,0.0210497,0.0299048,4.97519,0.850107,1,1,0.850107,4.22944,4.28789,34.1141,864.87,761.42,34.1276,782.125,761.47,0.115723,436.69,0.114229,431.052,436.635,112.848,1880
15,7,Be10,34.1865,-116.981,10737.8,1355.25,0.186682,0.0239759,0.0124411,0.0346533,0.0439372,3.00304,0.885393,1,1,0.885393,2.65887,2.66057,34.1877,844.277,835.402,34.1885,836.45,835.405,0.186683,704.464,0.186574,704.052,704.461,165.801,169
16,8,Be10,34.1831,-116.98,21684,1980.75,0.123935,0.0114357,0.00636649,0.0226861,0.026191,4.22136,0.856201,1,1,0.856201,3.61433,3.65251,34.1839,847.445,785.773,34.1969,801.711,785.82,0.123946,467.72,0.122729,463.13,467.681,98.8339,928
17,MHC-8,Be10,34.1195,-116.977,48427.6,6519.1,0.0665092,0.00914398,0.00288767,0.0120994,0.0154384,5.12899,0.853532,1,1,0.853532,4.37776,4.43247,34.1203,844.67,756.96,34.1308,777.726,756.999,0.0665159,251.003,0.0657354,248.058,250.978,58.2583,1684
18,1,Be10,34.084,-116.967,5838,1146.75,0.40657,0.0831141,0.0234906,0.0747653,0.114235,3.78854,0.840092,1,1,0.840092,3.18272,3.19292,34.084,836.831,801.219,34.08,809.539,801.205,0.406586,1534.29,0.405379,1529.73,1534.23,431.075,737
19,KC,Be10,34.1602,-116.963,23039.2,1563.75,0.114019,0.00778919,0.00597603,0.0208963,0.0230877,4.00422,0.887605,1,1,0.887605,3.55417,3.5652,34.1601,838.171,793.406,34.1511,795.555,793.374,0.114024,430.28,0.113693,429.031,430.261,87.1233,910
20,MHC-2m,Be10,34.1304,-116.962,112687,10244.3,0.0325685,0.0030009,0.00123797,0.00591168,0.00674433,5.76138,0.880545,1,1,0.880545,5.07315,5.09858,34.1295,805.124,739.821,34.1311,745.073,739.827,0.0325699,122.905,0.0324138,122.316,122.9,25.4503,1289
21,MHCW,Be10,34.132,-116.961,15832.1,1862.6,0.174831,0.0208818,0.00879802,0.0319495,0.0391692,4.57658,0.817392,1,1,0.817392,3.74086,3.76717,34.1322,804.536,773.754,34.136,784.72,773.768,0.174839,659.769,0.173691,655.438,659.74,147.808,570
22,9,Be10,34.1858,-116.951,27939,2085,0.0878762,0.0066112,0.00486785,0.0161643,0.0181297,3.69569,0.894617,1,1,0.894617,3.30622,3.31819,34.1863,826.782,805.196,34.1917,800.055,805.215,0.0878784,331.617,0.0875823,330.499,331.608,68.4141,469
23,4,Be10,34.053,-116.94,11259,1146.75,0.203147,0.0209319,0.0120617,0.0374424,0.0445597,3.91167,0.778649,1,1,0.778649,3.04582,3.06991,34.0535,837.035,796.443,34.0591,805.016,796.463,0.203162,766.65,0.201683,761.069,766.594,168.15,853
24,12,Be10,34.1966,-116.935,64635,3127.5,0.043157,0.00210278,0.00210176,0.00790931,0.00844963,4.35531,0.868045,1,1,0.868045,3.78061,3.81267,34.1952,820.689,781.243,34.2031,792.376,781.271,0.0431592,162.865,0.042816,161.57,162.856,31.8854,626
25,13,Be10,34.1939,-116.929,52437.8,2814.75,0.0442205,0.00239248,0.00253396,0.00817538,0.00888717,3.30301,0.947339,1,1,0.947339,3.12907,3.1289,34.1933,827.494,821.576,34.195,822.687,821.582,0.0442205,166.87,0.0442228,166.878,166.87,33.5365,114
26,3,Be10,34.0497,-116.928,11259,1251,0.235113,0.0264743,0.0123165,0.0430345,0.0520053,4.48804,0.796066,1,1,0.796066,3.57278,3.5909,34.0502,830.674,776.322,34.0591,789.919,776.354,0.235127,887.273,0.234016,883.079,887.217,196.246,967
